species,reproductive.mode,Genus,Family,female.SVL,hatchling.neonate.SVL,female.log,hatch.log,intercept,slope,female_mass,hatchling_mass,femass.log,hatcmass.log,rawFem,rawHatc,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time,foraging.mode,diet,Binomial
Uracentron_azureum,Oviparous,Uracentron,Tropiduridae,73,31.5,1.9,1.5,-3.884,2.719,194.6,81.8,1.2,0.19,15.22,1.55,2,1,2,2,-62.47,-1.49,Diurnal,sit and wait,Carnivorous,Uracentron_azureum
Uracentron_flaviceps,Oviparous,Uracentron,Tropiduridae,94.4,37,2.0,1.6,-3.884,2.719,252.8,96.7,1.5,0.38,30.62,2.40,2,1,2,2,-71.25,-4.87,Diurnal,sit and wait,Carnivorous,Uracentron_flaviceps
Uranoscodon_superciliosus,Oviparous,Uranoscodon,Tropiduridae,128.4,36.5,2.1,1.6,-3.884,2.719,345.2,95.4,1.8,0.36,70.66,2.31,16,3,11.5,5.8,-60.36,-2.62,Diurnal,sit and wait,Carnivorous,Uranoscodon_superciliosus
Urosaurus_graciosus,Oviparous,Urosaurus,Phrynosomatidae,50.9,24.5,1.7,1.4,-3.855,2.677,132.4,61.7,0.7,-0.14,5.17,0.73,10,2,5.3,3.6,-114.11,33.33,Diurnal,sit and wait,Carnivorous,Urosaurus_graciosus
Urosaurus_ornatus,Oviparous,Urosaurus,Phrynosomatidae,46.2,20.8,1.7,1.3,-3.855,2.677,119.8,51.8,0.6,-0.33,3.99,0.47,16,2,10.9,3.9,-107.32,31.66,Diurnal,sit and wait,Carnivorous,Urosaurus_ornatus
Uta_stansburiana,Oviparous,Uta,Phrynosomatidae,45.9,21.5,1.7,1.3,-3.855,2.677,119,53.7,0.6,-0.29,3.92,0.52,9,1,5.3,2.3,-110.98,34.13,Diurnal,sit and wait,Carnivorous,Uta_stansburiana
Vanzosaura_rubricauda,Oviparous,Vanzosaura,Gymnophthalmidae,34.7,16.2,1.5,1.2,-5.178,3.302,109.4,48.3,-0.1,-1.18,0.81,0.07,3,1,2.3,1.7,-51.04,-15.79,Diurnal,widely foraging,Carnivorous,Vanzosaura_rubricauda
Varanus_acanthurus,Oviparous,Varanus,Varanidae,147.5,62.9,2.2,1.8,-5.301,3.235,471.9,198.2,1.7,0.52,51.89,3.29,18,2,11.1,7.5,130.77,-20.89,Diurnal,sit and wait,Carnivorous,Varanus_acanthurus
Varanus_albigularis,Oviparous,Varanus,Varanidae,518.3,117.7,2.7,2.1,-5.301,3.235,1671.4,375.5,3.5,1.40,3024.62,25.00,51,2,40,24,28.46,-14.16,Diurnal,widely foraging,Carnivorous,Varanus_albigularis
Varanus_bengalensis,Oviparous,Varanus,Varanidae,387.5,87,2.6,1.9,-5.301,3.235,1248.3,276.1,3.1,0.97,1180.48,9.40,42,5,21.1,19.3,80.37,23.36,Diurnal,widely foraging,Carnivorous,Varanus_bengalensis
Varanus_brevicaudus,Oviparous,Varanus,Varanidae,91.5,42.8,2.0,1.6,-5.301,3.235,290.7,133.2,1.0,-0.02,11.07,0.95,8,1,3.5,2.3,125.81,-22.86,Diurnal,mixed,Carnivorous,Varanus_brevicaudus
Varanus_caudolineatus,Oviparous,Varanus,Varanidae,97.5,48,2.0,1.7,-5.301,3.235,310.1,150,1.1,0.14,13.60,1.37,6,3,4.3,3.1,119.43,-25.52,Diurnal,widely foraging,Carnivorous,Varanus_caudolineatus
Varanus_eremius,Oviparous,Varanus,Varanidae,132.7,60.9,2.1,1.8,-5.301,3.235,424,191.7,1.6,0.47,36.85,2.97,6,2,4.1,3.6,127.06,-25.13,Diurnal,widely foraging,Carnivorous,Varanus_eremius
Varanus_exanthematicus,Oviparous,Varanus,Varanidae,342,79.8,2.5,1.9,-5.301,3.235,1101.1,252.9,2.9,0.85,788.09,7.11,50,6,20.1,18,11.8,10.67,Diurnal,widely foraging,Carnivorous,Varanus_exanthematicus
Varanus_flavescens,Oviparous,Varanus,Varanidae,332.2,70.8,2.5,1.9,-5.301,3.235,1069.4,223.7,2.9,0.68,717.34,4.83,30,4,16,8.5,82.34,26.85,Diurnal,widely foraging,Carnivorous,Varanus_flavescens
Varanus_giganteus,Oviparous,Varanus,Varanidae,568.2,150.2,2.8,2.2,-5.301,3.235,1832.8,480.6,3.6,1.74,4072.03,55.02,13,5,9.6,8.5,128.22,-24.86,Diurnal,widely foraging,Carnivorous,Varanus_giganteus
Varanus_gilleni,Oviparous,Varanus,Varanidae,120.3,60.9,2.1,1.8,-5.301,3.235,383.9,191.7,1.4,0.47,26.83,2.97,7,1,5.3,3.3,130.74,-24.65,Diurnal,widely foraging,Carnivorous,Varanus_gilleni
Varanus_glauerti,Oviparous,Varanus,Varanidae,179.2,64.3,2.3,1.8,-5.301,3.235,574.4,202.7,2.0,0.55,97.40,3.54,6,3,6,3,127.35,-16.17,Diurnal,widely foraging,Carnivorous,Varanus_glauerti
Varanus_glebopalma,Oviparous,Varanus,Varanidae,246.1,86.3,2.4,1.9,-5.301,3.235,790.8,273.9,2.4,0.96,271.80,9.16,7,5,7,6,132.74,-15.77,Diurnal,sit and wait,Carnivorous,Varanus_glebopalma
Varanus_gouldii,Oviparous,Varanus,Varanidae,298.8,86.7,2.5,1.9,-5.301,3.235,961.3,275.2,2.7,0.97,509.16,9.30,13,1,9.8,5.8,132.55,-25.47,Diurnal,widely foraging,Carnivorous,Varanus_gouldii
Varanus_griseus,Oviparous,Varanus,Varanidae,354.8,101.6,2.5,2.0,-5.301,3.235,1142.5,323.4,2.9,1.19,887.56,15.53,34,5,21,10.5,31.37,27.04,Diurnal,widely foraging,Carnivorous,Varanus_griseus
Varanus_kingorum,Oviparous,Varanus,Varanidae,92,49.5,2.0,1.7,-5.301,3.235,292.3,154.8,1.1,0.18,11.27,1.52,6,2,4.5,4.5,129.08,-16.25,Diurnal,sit and wait,Carnivorous,Varanus_kingorum
Varanus_komodoensis,Oviparous,Varanus,Varanidae,1083.7,174.5,3.0,2.2,-5.301,3.235,3500.5,559.2,4.5,1.95,32879.93,89.37,33,1,25.5,11.3,119.85,-8.6,Diurnal,mixed,Carnivorous,Varanus_komodoensis
Varanus_mertensi,Oviparous,Varanus,Varanidae,366,101.5,2.6,2.0,-5.301,3.235,1178.7,323.1,3.0,1.19,981.43,15.49,14,3,12.6,6.8,136.15,-16.81,Diurnal,widely foraging,Carnivorous,Varanus_mertensi
Varanus_mitchelli,Oviparous,Varanus,Varanidae,236,68,2.4,1.8,-5.301,3.235,758.2,214.7,2.4,0.63,237.34,4.24,20,3,13.9,9.8,131.25,-14.62,Diurnal,sit and wait,Carnivorous,Varanus_mitchelli
Varanus_niloticus,Oviparous,Varanus,Varanidae,499.7,127.5,2.7,2.1,-5.301,3.235,1611.2,407.2,3.4,1.51,2687.35,32.38,63,5,27.3,19.5,20.22,-0.62,Diurnal,widely foraging,Carnivorous,Varanus_niloticus
Varanus_panoptes,Oviparous,Varanus,Varanidae,399.9,110.5,2.6,2.0,-5.301,3.235,1288.4,352.2,3.1,1.31,1307.11,20.38,14,3,11,6.6,130.59,-21.09,Diurnal,widely foraging,Carnivorous,Varanus_panoptes
Varanus_pilbarensis,Oviparous,Varanus,Varanidae,124.4,55.3,2.1,1.7,-5.301,3.235,397.1,173.6,1.5,0.34,29.91,2.17,6,2,4,2.5,119.33,-21.52,Diurnal,widely foraging,Carnivorous,Varanus_pilbarensis
Varanus_rosenbergi,Oviparous,Varanus,Varanidae,320.4,111,2.5,2.0,-5.301,3.235,1031.2,353.8,2.8,1.32,638.14,20.68,19,4,12.5,4,127.69,-33.26,Diurnal,widely foraging,Carnivorous,Varanus_rosenbergi
Varanus_salvadorii,Oviparous,Varanus,Varanidae,523.7,115,2.7,2.1,-5.301,3.235,1688.9,366.7,3.5,1.37,3127.75,23.19,12,4,7.1,6.5,139.44,-5.24,Diurnal,sit and wait,Carnivorous,Varanus_salvadorii
Varanus_salvator,Oviparous,Varanus,Varanidae,499.5,124.5,2.7,2.1,-5.301,3.235,1610.6,397.5,3.4,1.48,2683.88,29.98,40,1,17.1,4.2,103.08,12.89,Diurnal,widely foraging,Carnivorous,Varanus_salvator
Varanus_scalaris,Oviparous,Varanus,Varanidae,205.6,63,2.3,1.8,-5.301,3.235,659.8,198.5,2.2,0.52,151.93,3.31,12,3,7.7,4,136.56,-16.23,Diurnal,mixed,Carnivorous,Varanus_scalaris
Varanus_similis,Oviparous,Varanus,Varanidae,210,57,2.3,1.8,-5.301,3.235,674,179.1,2.2,0.38,162.70,2.39,18,3,5,5,136.64,-14.03,Diurnal,sit and wait,Carnivorous,Varanus_similis
